"Country.name","Mean_Index"
"New Zealand",90.2613106623066
"Singapore",88.5651261500056
"Hong Kong SAR, China",88.3336734537331
"Denmark",88.0696130453408
"Sweden",87.8894566691149
"Australia",86.2492156483548
"Finland",86.0759791235956
"Korea, Rep.",85.2551786327906
"United States New York City",85.2338454293549
"United Kingdom",85.067181314636
"Estonia",84.4365504632818
"Norway",84.2417881141254
"Taiwan, China",83.8961054945372
"Georgia",83.6829706192424
"Iceland",83.476423651144
"Switzerland",81.8865264468735
"United Arab Emirates",81.6816708330679
"Germany",81.4759356013204
"France",81.0261109122206
"Ireland",81.01537794143
"Canada",80.9166823628315
"Lithuania",80.8545932801827
"Liechtenstein",80.4409040516278
"Mauritius",80.1261458042758
"Latvia",79.9965605555283
"Japan Tokyo",79.7807068596735
"Israel",78.9386354601884
"Luxembourg",78.9118688703223
"Austria",78.5112646140342
"Netherlands",78.4008093506612
"Tonga",77.1978070593297
"Malaysia",77.1058208883641
"United States",76.7473321929525
"Morocco",76.7240014929325
"Slovenia",76.5747055213644
"Thailand",76.5424043388172
"Japan Osaka",76.4341524586608
"Panama",76.3018520875367
"St. Lucia",76.2793502922787
"Belgium",76.263198067754
"Portugal",76.1883284249909
"Samoa",76.0512546864482
"Japan",76.0291928946918
"Bahrain",75.8751423635917
"Oman",75.8562950652886
"Qatar",75.783726719872
"Russian Federation Saint Petersburg",75.5649894323072
"North Macedonia",75.4400253976133
"Russian Federation",75.3923884399193
"Chile",75.3037028772659
"United States Los Angeles",75.0689203728046
"Dominica",75.0395927988282
"St. Vincent and the Grenadines",74.5307588743297
"Marshall Islands",74.2817098436861
"Puerto Rico",74.2434489468717
"Mexico Monterrey",74.0220579266726
"St. Kitts and Nevis",74.0092687717071
"Jamaica",73.6085713824151
"Armenia",73.2886206521802
"Slovak Republic",73.0210578601691
"Poland",73.019443569614
"Maldives",72.8957605666195
"Czech Republic",72.8828920871967
"Trinidad and Tobago",72.7499445480866
"Hungary",72.7088786638069
"Tunisia",72.5132042126098
"Italy",72.4175900027512
"San Marino",72.2013344859634
"Cyprus",72.2006928733957
"Spain",72.0553412509757
"Bulgaria",71.5290074664989
"South Africa",71.4495984420805
"Antigua and Barbuda",71.1930005218309
"Bahamas, The",71.1475350998777
"Mexico",71.1420497791274
"Vietnam",71.0515580785303
"Malta",70.9209829381906
"Grenada",70.729047720103
"Kazakhstan",70.4106507467784
"Bhutan",70.0159891827035
"Fiji",69.9308607276798
"Peru",69.6855119039387
"Papua New Guinea",69.6513070159549
"Greece",69.4668241021764
"Mongolia",69.3208203266644
"Belarus",69.1897663291501
"Namibia",69.165089717674
"Turkey",69.0414792312989
"Dominican Republic",69.0199346158143
"Romania",69.00832007349
"Colombia",68.9116909344917
"Mexico Mexico City",68.8849308497369
"Indonesia",68.8700507112637
"Costa Rica",68.7180407760112
"China Beijing",68.6832334978889
"China",68.5701475657418
"Indonesia Surabaya",68.517238933742
"Azerbaijan",68.4010183348414
"Botswana",68.1217875863732
"Sri Lanka",68.1036276482921
"Barbados",67.9060273586609
"Zambia",67.8220876789108
"Serbia",67.8070834784972
"Russian Federation Moscow",67.7667433102497
"Brunei Darussalam",67.7657418972214
"Seychelles",67.5257458564224
"Saudi Arabia",67.5082268660031
"Brazil Rio de Janeiro",67.4838759201021
"Kyrgyz Republic",67.3870863396279
"Uruguay",67.3757981174438
"Palau",67.3619222011417
"Kosovo",67.0070397295321
"India Delhi",66.9081172351791
"Belize",66.8497910917294
"Croatia",66.5213770948746
"Brazil",66.4024729143773
"Montenegro",66.3324151656133
"Nepal",66.1892952509973
"India",66.1449044609852
"Jordan",65.8636340533313
"Nigeria Kano",65.5149634810115
"Vanuatu",65.4953295805818
"Uzbekistan",65.2861119375596
"Kuwait",65.1737752461425
"Moldova",64.6872870180362
"Iran, Islamic Rep.",64.5534914652797
"Cabo Verde",64.4769852674812
"Pakistan Lahore",64.2605324517792
"Ghana",64.1083415506392
"Pakistan",63.5192656461543
"Nigeria",63.4454800009471
"Eswatini",63.4175344202633
"Rwanda",63.3617930447397
"Lao PDR",63.1626676749814
"Timor-Leste",63.0935926025913
"Kenya",62.8671675209877
"Egypt, Arab Rep.",62.7664316335766
"Guatemala",62.6389162839221
"Paraguay",62.5749094039731
"Ecuador",61.8508802558724
"El Salvador",61.841111269595
"Bangladesh Chittagong",61.7128053924292
"Guyana",61.5419877424893
"Lesotho",61.3508270175448
"Indonesia Jakarta",61.3426948139995
"Solomon Islands",60.6591143040352
"Bangladesh",60.637102638664
"Gabon",59.9343286728012
"Philippines",59.6423420243286
"Brazil S�o Paulo",59.4973635628251
"Iraq",59.483385587531
"S�o Tom� and Pr�ncipe",59.4228872610439
"Albania",59.4000660534903
"Honduras",59.3129491727489
"Myanmar",59.1495514786926
"Lebanon",59.1241288144155
"China Shanghai",58.8828776524103
"Afghanistan",58.4790664761735
"Ukraine",58.3582899094484
"Argentina",58.1238129422813
"Bosnia and Herzegovina",57.7667405298111
"Micronesia, Fed. Sts.",57.6770675408048
"Algeria",57.1529277097115
"Sudan",57.0738149209675
"Mauritania",57.0065892447785
"Kiribati",56.9786941980214
"Comoros",56.5778574318393
"Tajikistan",56.1383871515871
"Senegal",56.0896437766281
"Pakistan Karachi",55.7837862156085
"Mozambique",55.726498025401
"Cameroon",55.409846974671
"Burkina Faso",55.294931636729
"Syrian Arab Republic",55.1627520802255
"West Bank and Gaza",54.831026167353
"Nicaragua",54.6987959454165
"Nigeria Lagos",54.4383160929811
"Libya",54.0477555686336
"Suriname",53.9099644060222
"India Mumbai",53.4099562035617
"Liberia",53.179308233954
"Mali",53.1514467435256
"Bangladesh Dhaka",52.9049212894329
"Bolivia",52.5697735140163
"Burundi",50.9452875854143
"Malawi",50.8557313825765
"Ethiopia",50.3099128016167
"Benin",50.0912164969128
"C�te d'Ivoire",49.7501767478546
"Somalia",49.1655369813748
"Tanzania",49.1482779735912
"Madagascar",48.5172744993648
"Yemen, Rep.",48.4383292038288
"Gambia, The",47.9582239601451
"Djibouti",47.8679180002217
"Equatorial Guinea",47.8167714745335
"Angola",46.7602975641502
"Guinea",46.5784134201176
"Congo, Rep.",46.3640678333075
"Cambodia",46.2833642463438
"South Sudan",46.0690610727758
"Sierra Leone",46.0661711212387
"Uganda",45.7344235419418
"Togo",45.6758721070591
"Niger",44.949160696589
"Guinea-Bissau",42.632959582205
"Zimbabwe",41.6934190076306
"Venezuela, RB",40.7252995480819
"Congo, Dem. Rep.",39.5444275254902
"Haiti",36.9840636388364
"Chad",32.8310132620019
"Eritrea",30.3411375469629
"Central African Republic",30.1602429852867
